Area,Latitude,Longitude
1,45.989,-59.825
1,46.38,-59.03
1,47.0033,-59.825
1,46.925,-59.9333
1,46.625,-60.35
1,46.35,-60.3175
1,46.175,-59.79
2,47.0033,-59.825
2,47.2383,-59.4917
2,46.05,-57.8
2,45.82,-58.2
2,46.02,-58.5
2,46.38,-59.03
3,46.05,-57.8
3,44.68,-56.25
3,44.45,-57.06
3,45.12,-57.6
3,45.82,-58.2
4,45.12,-57.6
4,44.45,-57.06
4,43.91,-58.88
4,44.42,-59.21
4,44.44,-60
4,44.66,-60
4,44.53,-59.35
5,46.02,-58.5
5,45.82,-58.2
5,45.12,-57.6
5,44.53,-59.35
5,44.66,-60
5,45.41,-60
6,46.38,-59.03
6,46.02,-58.5
6,45.41,-60
6,44.8,-61.4
6,45.02,-61.73
6,45.2316,-61.31
6,45.18,-61.16
6,45.25,-60.93
6,45.36,-60.93
6,45.3575,-61.06
6,45.989,-59.825
7,44.8,-61.4
7,45.41,-60
7,44.44,-60
7,44.25,-60.5
7,44.35,-61
8,44.44,-60
8,44.42,-59.21
8,43.91,-58.88
8,43.9,-58.97
8,44.25,-60.5
9,44.35,-61
9,44.25,-60.5
9,43.9,-58.97
9,43.3,-61
10,44.35,-61
10,43.3,-61
10,43.01,-61.82
10,42.96,-62.2
10,43.7,-62.15
11,43.71,-62.56
11,43.7,-62.15
11,42.96,-62.2
11,42.91,-62.77
11,43.45,-62.75
12,44.8,-61.4
12,44.35,-61
12,43.7,-62.15
12,43.71,-62.56
12,43.45,-62.75
12,43.32,-63.63
12,44.21,-63.07
13,45.02,-61.73
13,44.8,-61.4
13,44.21,-63.07
13,44.55,-63.25
14,44.55,-63.25
14,44.21,-63.07
14,43.54,-64.8
14,43.71,-64.97
15,44.21,-63.07
15,43.32,-63.63
15,43.45,-64.33
15,43.54,-64.8
16,43.45,-62.75
16,42.91,-62.77
16,42.79,-63.85
16,43.32,-63.63
17,43.45,-64.33
17,43.32,-63.63
17,42.79,-63.85
17,42.73,-64.23
17,43.08,-64.52
18,43.15,-64.98
18,43.08,-64.52
18,42.73,-64.23
18,42.42,-64.95
18,42.8,-65.18
19,43.54,-64.8
19,43.45,-64.33
19,43.08,-64.52
19,43.15,-64.98
20,43.71,-64.97
20,43.54,-64.8
20,43.16,-65.6
20,43.4,-65.61
21,43.54,-64.8
21,43.15,-64.98
21,42.8,-65.18
21,42.82,-65.55
21,43.16,-65.6
22,42.8,-65.18
22,42.42,-64.95
22,42.13,-65.55
22,42.56,-66.1
22,42.79,-67
22,42.88,-66.62
22,42.82,-65.55
23,43.1,-66.52
23,43.16,-65.6
23,42.82,-65.55
23,42.88,-66.62
24,44.21,-66.5
24,43.4,-65.61
24,43.16,-65.6
24,43.1,-66.52
25,44.21,-66.5
25,43.1,-66.52
25,42.88,-66.62
25,42.79,-67
25,43.2,-67
25,44,-67
26,42.79,-67
26,42.56,-66.1
26,42.18,-66.32
26,42.18,-67
26,42.18,-67.7
26,42.58,-67.75
27,42.18,-67
27,41.5,-67
27,41.5,-67.68
27,42.03,-67.68
28,42.18,-67
28,42.18,-66.32
28,41.9,-65.72
28,41.5,-66
28,41.5,-67
29,42.56,-66.1
29,42.13,-65.55
29,41.9,-65.72
29,42.18,-66.32
30,42.42,-64.95
30,41.68,-64.3
30,40.575,-66.14
30,41.03,-66.57
30,41.5,-66
30,41.9,-65.72
30,42.13,-65.55
31,41.68,-64.3
31,40.92,-63.73
31,40.1,-65.71
31,40.575,-66.14
32,42.25,-61.4
32,41.5,-61
32,40.92,-63.73
32,41.68,-64.3
33,42.73,-64.23
33,42.79,-63.85
33,42.91,-62.77
33,42.96,-62.2
33,43.01,-61.82
33,42.25,-61.4
33,41.68,-64.3
33,42.42,-64.95
34,44.68,-56.25
34,44.15,-55.68
34,42.25,-61.4
34,43.01,-61.82
34,43.3,-61
34,43.9,-58.97
34,43.91,-58.88
34,44.45,-57.06
35,44.15,-55.68
35,43.51,-55.09
35,41.5,-61
35,42.25,-61.4
36,41.5,-66
36,40.69,-66.98
36,41.18,-67.2
36,41.5,-67
37,41.18,-67.2
37,40.69,-66.98
37,40.23,-68.6
37,40.6,-68.69
37,40.98,-67.67
38,42.03,-67.68
38,41.5,-67.68
38,41.5,-67
38,41.18,-67.2
38,40.98,-67.67
38,41.47,-68.31
38,41.67,-68.25
39,41.47,-68.31
39,40.98,-67.67
39,40.6,-68.69
39,41.08,-68.82
39,41.4,-68.35
40,42.18,-67.7
40,42.18,-67
40,42.03,-67.68
40,41.67,-68.25
40,41.47,-68.31
40,41.4,-68.35
40,41.08,-68.82
40,41.16,-69.01
40,41.75,-68.38
41,42.18,-69
41,41.75,-68.38
41,41.16,-69.01
41,41.62,-69.4
41,41.73,-69.32
42,42.81,-67.92
42,42.58,-67.75
42,42.18,-67.7
42,41.75,-68.38
42,42.18,-69
42,42.55,-68.75
42,42.71,-68.6
43,43.2,-67
43,42.79,-67
43,42.58,-67.75
43,42.81,-67.92
43,43.18,-68.2
44,44,-67
44,43.2,-67
44,43.18,-68.2
44,44,-67.73
45,44,-67.73
45,43.18,-68.2
45,42.81,-67.92
45,42.71,-68.6
45,43.32,-68.75
46,43.32,-68.75
46,42.71,-68.6
46,42.55,-68.75
46,43.12,-70
46,43.34,-70
47,43.12,-70
47,42.55,-68.75
47,42.18,-69
47,41.73,-69.32
47,42.11,-69.88
48,43.12,-70
48,42.11,-69.88
48,42.11,-70.1
48,42.62,-70.53
49,42.62,-70.53
49,42.11,-70.1
49,42.09,-70.27
49,41.8,-70.04
49,41.78,-70.42
49,42.44,-70.9
50,43.68,-70
50,43.34,-70
50,43.12,-70
50,42.62,-70.53
50,42.9,-70.78
51,43.9,-68.98
51,43.32,-68.75
51,43.34,-70
51,43.68,-70
52,44.41,-67.6
52,44,-67
52,44,-67.73
52,43.32,-68.75
52,43.9,-68.98
53,44.6,-66.78
53,44.31,-66.4
53,44.21,-66.5
53,44,-67
53,44.41,-67.6
53,44.57,-67.22
54,45.09,-66.15
54,44.7,-65.8
54,44.31,-66.4
54,44.6,-66.78
54,44.89,-66.68
55,45.49,-65.08
55,45.16,-64.82
55,44.7,-65.8
55,45.09,-66.15
56,42.11,-69.88
56,41.73,-69.32
56,41.62,-69.4
56,41.16,-69.01
56,41,-69.1
56,41.5744,-69.66
56,41.718,-69.8
56,41.8,-69.88
56,42.11,-70.1
57,41.718,-69.8
57,41.5744,-69.66
57,41.23,-69.97
57,41.23,-70.5
57,41.54,-70.5
57,41.65,-70.15
58,41.5744,-69.66
58,41,-69.1
58,40.57,-69.21
58,40.59,-69.56
58,40.64,-70.5
58,41.23,-70.5
58,41.23,-69.97
59,41.16,-69.01
59,41.08,-68.82
59,40.6,-68.69
59,40.57,-69.21
59,41,-69.1
60,40.59,-69.56
60,40.05,-69.56
60,40.06,-70.5
60,40.64,-70.5
61,40.6,-68.69
61,40.23,-68.6
61,40.04,-69.25
61,40.05,-69.56
61,40.59,-69.56
61,40.57,-69.21
62,40.23,-68.6
62,39.56,-68.155
62,38.965,-70.155
62,40.06,-70.5
62,40.05,-69.56
62,40.04,-69.25
63,39.56,-68.155
63,38.89,-67.71
63,37.87,-69.81
63,38.965,-70.155
64,41.03,-66.57
64,40.575,-66.14
64,39.56,-68.155
64,40.23,-68.6
64,40.69,-66.98
65,40.575,-66.14
65,40.1,-65.71
65,38.89,-67.71
65,39.56,-68.155
66,46.625,-60.35
66,46.925,-59.9333
66,47.15,-60.2833
66,47.0333,-60.4583
67,46.925,-59.9333
67,47.15,-60.2833
67,47.455,-59.8417
67,47.2383,-59.4917
67,47.0033,-59.825
68,47.2383,-59.4917
68,47.455,-59.8417
68,47.8033,-59.3583
68,47.5833,-59.0167
